tabla;filas;pm_distintos;sin_fecha_hora;primera_fecha_hora;ultima_fecha_hora
bloque_maquinas;1419;1419;0;Tue Jul 22 2025 10:39:26 GMT+0200 (hora de verano de Europa central);Sat Jun 13 2026 08:24:34 GMT+0200 (hora de verano de Europa central)
lot_block_creation;1093;1081;0;Mon Sep 01 2025 09:03:21 GMT+0200 (hora de verano de Europa central);Thu Jun 11 2026 11:27:24 GMT+0200 (hora de verano de Europa central)
stock_lot_onhand_bloques;134;133;0;Fri Aug 29 2025 18:01:33 GMT+0200 (hora de verano de Europa central);Fri Aug 29 2025 18:04:46 GMT+0200 (hora de verano de Europa central)
parte_trabajo_mapeada;8921;1205;179;Mon May 19 2025 11:56:00 GMT+0200 (hora de verano de Europa central);Fri Dec 18 2026 20:56:00 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;12855;858;0;Wed May 14 2025 11:45:00 GMT+0200 (hora de verano de Europa central);Tue Dec 22 2026 19:33:00 GMT+0100 (hora estándar de Europa central)
produccion_mapeada;108440;596;0;Tue Dec 31 2024 23:01:00 GMT+0100 (hora estándar de Europa central);Sun Jun 14 2026 19:15:00 GMT+0200 (hora de verano de Europa central)
