campo;valor;filas;pm_distintos;primera;ultima
parte_trabajo_mapeada.n_telar;0;164;19;Sat Sep 06 2025 11:58:00 GMT+0200 (hora de verano de Europa central);Sat Sep 06 2025 11:58:00 GMT+0200 (hora de verano de Europa central)
parte_trabajo_mapeada.n_telar;<NULL>;16;1;;
parte_trabajo_mapeada.n_telar;45971;2;1;Mon Sep 01 2025 04:10:00 GMT+0200 (hora de verano de Europa central);Mon Sep 01 2025 17:00:00 GMT+0200 (hora de verano de Europa central)
parte_trabajo_mapeada.n_telar;46002;1;1;Tue Sep 02 2025 11:20:00 GMT+0200 (hora de verano de Europa central);Tue Sep 02 2025 11:20:00 GMT+0200 (hora de verano de Europa central)
parte_trabajo_mapeada.n_telar;46052;1;1;Thu Sep 11 2025 15:00:00 GMT+0200 (hora de verano de Europa central);Thu Sep 11 2025 15:00:00 GMT+0200 (hora de verano de Europa central)
