tabla;futuras;demasiado_antiguas;nulas;separacion_create_gt_15m;min_fecha;max_fecha
produccion_mapeada;0;0;0;20061;Tue Dec 31 2024 23:01:00 GMT+0100 (hora estándar de Europa central);Sun Jun 14 2026 19:15:00 GMT+0200 (hora de verano de Europa central)
parte_trabajo_mapeada;26;0;179;2814;Mon May 19 2025 11:56:00 GMT+0200 (hora de verano de Europa central);Fri Dec 18 2026 20:56:00 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;434;0;0;5394;Wed May 14 2025 11:45:00 GMT+0200 (hora de verano de Europa central);Tue Dec 22 2026 19:33:00 GMT+0100 (hora estándar de Europa central)
