tabla;id;maquina;n_bloque;material;operacion;fecha_hora;create_date
parte_discopuente_mapeada;69893;1;45339;72;0;Wed Nov 25 2026 06:03:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69892;1;45490;71;0;Tue Nov 24 2026 16:41:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69891;1;46054;71;0;Tue Nov 24 2026 11:31:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69890;1;46203;71;0;Tue Nov 24 2026 11:28:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69889;1;46203;71;0;Tue Nov 24 2026 11:03:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69888;1;46203;71;0;Tue Nov 24 2026 07:48:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69887;1;45909;71;0;Sat Nov 21 2026 11:35:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69886;1;45964;71;0;Sat Nov 21 2026 06:11:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69885;1;45964;71;0;Fri Nov 20 2026 19:51:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69884;1;46120;71;0;Fri Nov 20 2026 18:57:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69883;1;46120;71;0;Fri Nov 20 2026 18:00:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69882;1;46234;71;0;Fri Nov 20 2026 16:49:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69881;1;46234;71;0;Fri Nov 20 2026 15:56:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69880;1;46219;71;0;Fri Nov 20 2026 13:31:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69879;1;46230;71;0;Fri Nov 20 2026 12:03:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
