telar_n;filas;materiales_distintos;materiales;pm_distintos;primera;ultima
1;25375;1;114;165;Mon May 05 2025 03:59:00 GMT+0200 (hora de verano de Europa central);Sat Jun 13 2026 10:39:00 GMT+0200 (hora de verano de Europa central)
2;23358;1;114;164;Wed Jun 04 2025 06:39:00 GMT+0200 (hora de verano de Europa central);Sat Jun 13 2026 10:43:00 GMT+0200 (hora de verano de Europa central)
3;21407;20;71|72|73|75|76|78|80|85|99|104|107|112|113|114|116|131|137|138|139|147;123;Wed Jun 04 2025 06:39:00 GMT+0200 (hora de verano de Europa central);Sat Jun 13 2026 10:43:00 GMT+0200 (hora de verano de Europa central)
4;38300;12;71|72|73|75|78|85|114|117|130|131|132|138;203;Tue Dec 31 2024 23:01:00 GMT+0100 (hora estándar de Europa central);Sun Jun 14 2026 19:15:00 GMT+0200 (hora de verano de Europa central)
