pm;filas_lbc;filas_stock;productos_lbc;productos_stock;medidas_lbc_supplier;medidas_stock_supplier;es_bloque_o_material
46465;1;1;;270;255.000x160.000x115.000;255.000x160.000x115.000;true
46464;1;1;;314;285.000x160.000x180.000;285.000x160.000x180.000;true
46451;2;1;104|270;104;0.000x0.000x0.000|2.550x1.700x1.450;2.550x1.700x1.450;true
46365;2;1;71|270;71;0.000x0.000x0.000|2.550x1.650x1.750;2.550x1.650x1.750;true
46356;2;1;71;71;2.850x1.500x1.000|2.850x1.500x1.800;2.850x1.500x1.800;true
46190;1;1;117;117;1.800x1.500x0.700;2.700x1.500x1.500;true
46174;2;1;71;71;0.000x0.000x0.000|1.450x1.450x1.350;1.450x1.450x1.350;true
46173;4;1;71;71;1.850x1.550x0.000|1.850x1.550x1.650|1.850x1.650x1.550|150.000x150.000x2.000;150.000x150.000x2.000;true
46133;1;1;71;71;2.850x1.550x1.900;285.000x155.000x190.000;true
46132;1;1;71;71;2.950x1.550x1.900;295.000x155.000x190.000;true
46131;1;1;71;71;2.400x1.500x0.700;240.000x150.000x70.000;true
46130;1;1;71;71;2.600x1.300x1.700;260.000x130.000x170.000;true
46129;1;1;71;71;2.900x1.300x1.600;290.000x130.000x160.000;true
46124;1;1;72;72;3.000x1.600x1.600;300.000x160.000x160.000;true
46123;1;1;71;71;2.650x1.550x0.750;265.000x155.000x75.000;true
46122;1;1;71;71;2.900x1.350x1.100;290.000x135.000x110.000;true
46118;1;1;131;104;2.500x1.400x1.750;2.500x1.400x1.750;true
46095;1;1;71;71;1.550x1.250x1.450;1.750x1.300x1.600;true
46091;1;1;71;71;2.300x1.600x1.000;0.000x0.000x0.000;true
46078;1;1;71;71;3.000x1.100x0.850;300.000x1.100x0.850;true
46077;2;1;71;71;0.000x0.000x0.000|2.400x1.200x1.650;2.400x1.200x1.650;true
46076;1;1;71;71;3.000x1.700x0.850;300.000x1.700x0.850;true
46048;1;1;71;71;2.800x1.750x1.500;280.000x1.750x1.500;true
46026;1;1;72;72;2.200x1.850x1.600;3.000x1.600x1.600;true
